87e49b0 | ΓÇ£vikk456ΓÇ¥ | 2025-03-09 | added pet product page with responsiveness
32b3577 | ΓÇ£vikk456ΓÇ¥ | 2025-03-08 | added responsiveness for blog
35b2af8 | ΓÇ£vikk456ΓÇ¥ | 2025-02-27 | added responsiveness for Events
eda2615 | ΓÇ£vikk456ΓÇ¥ | 2025-02-27 | added responsiveness for shop essentials
148bdd9 | ΓÇ£vikk456ΓÇ¥ | 2025-02-27 | added responsiveness to services and shop
5c8ebd8 | ΓÇ£vikk456ΓÇ¥ | 2025-02-24 | added hover effect to book btn in events page
a1b2a58 | ΓÇ£vikk456ΓÇ¥ | 2025-02-24 | Added Events page and linked it also changed add logos to login page
aa3a396 | ΓÇ£vikk456ΓÇ¥ | 2025-02-24 | fixed pet adoption css
6a363ca | ΓÇ£vikk456ΓÇ¥ | 2025-02-24 | removed footer in login page
e2db52f | ΓÇ£vikk456ΓÇ¥ | 2025-02-22 | changed nav of home page
9d87ed1 | ΓÇ£vikk456ΓÇ¥ | 2025-02-22 | changed name of pet adoption folder
0657a78 | ΓÇ£vikk456ΓÇ¥ | 2025-02-22 | added services page
3859d06 | ΓÇ£vikk456ΓÇ¥ | 2025-02-21 | changed footer for mobile
3a289c4 | ΓÇ£vikk456ΓÇ¥ | 2025-02-21 | mobile responsiveness added for home page
bf7aa66 | ΓÇ£vikk456ΓÇ¥ | 2025-02-21 | changed home responsiveness
27863f4 | ΓÇ£vikk456ΓÇ¥ | 2025-02-21 | Merge branch 'main' of https://github.com/akshay-ellendula/HappyTails
7a11b3d | ΓÇ£vikk456ΓÇ¥ | 2025-02-21 | changed footer of home for mobile
f626fa8 | ΓÇ£vikk456ΓÇ¥ | 2025-02-21 | added responsiveness for homepage
379ef56 | ΓÇ£vikk456ΓÇ¥ | 2025-02-20 | updated links
216a357 | ΓÇ£vikk456ΓÇ¥ | 2025-02-20 | updates based on recent changes
b74fa30 | ΓÇ£vikk456ΓÇ¥ | 2025-02-03 | Added blog html
fd6cc0c | ΓÇ£vikk456ΓÇ¥ | 2025-02-03 | made it prettier
1aab557 | ΓÇ£vikk456ΓÇ¥ | 2025-02-02 | made progress on pet-accessory and changed home page css filename
95e07c2 | ΓÇ£vikk456ΓÇ¥ | 2025-02-01 | added pet accessory
a6dfa7b | ΓÇ£vikk456ΓÇ¥ | 2025-02-01 | added js for get started button
d99f781 | ΓÇ£vikk456ΓÇ¥ | 2025-02-01 | Merge branch 'main' of https://github.com/akshay-ellendula/HappyTails
d7e23db | ΓÇ£vikk456ΓÇ¥ | 2025-02-01 | completed more details page
2a29cc4 | ΓÇ£vikk456ΓÇ¥ | 2025-01-29 | Merge branch 'main' of https://github.com/akshay-ellendula/HappyTails
84528f7 | ΓÇ£vikk456ΓÇ¥ | 2025-01-29 | more-details page
e589b21 | ΓÇ£vikk456ΓÇ¥ | 2025-01-27 | added new link
a0bbda9 | ΓÇ£vikk456ΓÇ¥ | 2025-01-27 | added reqired files
